Branch,Asset Name,Resource Category,Resource Type,Amount,Unit,Total Greenhouse Gases (t CO2-e),Billing Start date,Billing End Date,CoM or Supply Chain,Peak amount,Off-peak amount
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,33979.89231,kWh,0,7/1/2013 0:00,7/31/2013 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,42534.32645,kWh,0,8/1/2013 0:00,8/31/2013 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,26761.66792,kWh,0,9/1/2013 0:00,9/30/2013 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,28155.47728,kWh,0,10/1/2013 0:00,10/31/2013 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,23504.10623,kWh,0,11/1/2013 0:00,11/30/2013 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,24008.36678,kWh,0,12/1/2013 0:00,12/31/2013 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,20992.81565,kWh,0,1/1/2014 0:00,1/31/2014 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,24133.61849,kWh,0,2/1/2014 0:00,2/28/2014 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,23078.84104,kWh,0,3/1/2014 0:00,3/31/2014 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,27923.82942,kWh,0,4/1/2014 0:00,4/30/2014 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,26382.08829,kWh,0,5/1/2014 0:00,5/31/2014 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,29080.13419,kWh,0,6/1/2014 0:00,6/30/2014 0:00,CoM,,
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,32549.99,kWh,42965.9868,7/1/2013 0:00,7/31/2013 0:00,CoM,24750,7799.99
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,32762.63,kWh,43246.6716,8/1/2013 0:00,8/31/2013 0:00,CoM,21268.19,11494.44
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,16192.52,kWh,21374.1264,9/1/2013 0:00,9/30/2013 0:00,CoM,10214.57,5977.95
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,6874.07,kWh,9073.7724,10/1/2013 0:00,10/31/2013 0:00,CoM,1033.57,5840.5
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,16918.29,kWh,22332.1428,11/1/2013 0:00,11/30/2013 0:00,CoM,10019.08,6899.21
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,7470.88,kWh,9861.5616,12/1/2013 0:00,12/17/2013 0:00,CoM,4746.15,2724.73
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,6416.76,kWh,8470.1232,12/18/2013 0:00,1/31/2014 0:00,CoM,1078.23,5338.53
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,12250.7,kWh,16170.924,2/1/2014 0:00,2/28/2014 0:00,CoM,7557.1,4693.6
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,17181.96,kWh,22680.1872,7/1/2013 0:00,7/31/2013 0:00,CoM,11105.05,6076.91
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,16997.21,kWh,22436.3172,8/1/2013 0:00,8/31/2013 0:00,CoM,10965.75,6031.46
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,16383.17,kWh,21625.7844,9/1/2013 0:00,9/30/2013 0:00,CoM,9776,6607.17
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,15369.67,kWh,20287.9644,10/1/2013 0:00,10/31/2013 0:00,CoM,9479.71,5889.96
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,12214.64,kWh,16123.3248,11/1/2013 0:00,11/30/2013 0:00,CoM,7774.45,4440.19
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,7.68,kWh,10.14109091,6/29/2013 0:00,9/24/2013 0:00,CoM,7.68,0
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2030,kWh,2679.6,11/9/2013 0:00,12/5/2013 0:00,CoM,1080,950
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2570,kWh,3392.4,7/11/2013 0:00,8/8/2013 0:00,CoM,1320,1250
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2910,kWh,3841.2,8/9/2013 0:00,9/10/2013 0:00,CoM,1680,1230
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2090,kWh,2758.8,9/11/2013 0:00,10/8/2013 0:00,CoM,1200,890
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,3090,kWh,4119.289655,6/12/2013 0:00,7/10/2013 0:00,CoM,1870,1220
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2410,kWh,3181.2,10/9/2013 0:00,11/8/2013 0:00,CoM,1290,1120
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2312.98,kWh,3053.1336,10/25/2013 0:00,11/24/2013 0:00,CoM,1210.14,1102.84
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2684.2,kWh,3551.097185,6/27/2013 0:00,7/23/2013 0:00,CoM,1546.2,1138
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2512.66,kWh,3316.7112,8/26/2013 0:00,9/23/2013 0:00,CoM,1467.68,1044.98
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,3359.8,kWh,4434.936,7/24/2013 0:00,8/25/2013 0:00,CoM,1884.3,1475.5
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2335.7,kWh,3083.124,9/24/2013 0:00,10/24/2013 0:00,CoM,1311.1,1024.6
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2708,kWh,3574.56,12/6/2013 0:00,1/13/2014 0:00,CoM,1527,1181
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2838,kWh,3746.16,1/14/2014 0:00,2/11/2014 0:00,CoM,1968,870
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2574,kWh,3397.68,2/12/2014 0:00,3/13/2014 0:00,CoM,1245,1329
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,1780,kWh,2349.6,3/14/2014 0:00,4/9/2014 0:00,CoM,970,810
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2050,kWh,2706,4/10/2014 0:00,5/7/2014 0:00,CoM,1100,950
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2210,kWh,2917.2,5/8/2014 0:00,6/5/2014 0:00,CoM,1160,1050
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2333.6,kWh,3080.352,11/25/2013 0:00,12/29/2013 0:00,CoM,1290,1043.6
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,1653.5,kWh,2182.62,12/30/2013 0:00,1/19/2014 0:00,CoM,853,800.5
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2759.1,kWh,3642.012,1/20/2014 0:00,2/20/2014 0:00,CoM,1544.8,1214.3
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2766,kWh,3651.12,2/21/2014 0:00,3/21/2014 0:00,CoM,1462.3,1303.7
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2708,kWh,3574.56,3/22/2014 0:00,4/23/2014 0:00,CoM,1435.7,1272.3
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2845.4,kWh,3755.928,4/24/2014 0:00,5/22/2014 0:00,CoM,1563,1282.4
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,3838.9,kWh,5067.348,5/23/2014 0:00,6/20/2014 0:00,CoM,2265.6,1573.3
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,13223.512,kWh,17455.03584,12/1/2013 0:00,12/31/2013 0:00,CoM,8156.364,5067.148
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,14994.388,kWh,19792.59216,1/1/2014 0:00,1/31/2014 0:00,CoM,10269.928,4724.46
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,13990.336,kWh,18467.24352,2/1/2014 0:00,2/28/2014 0:00,CoM,8788.636,5201.7
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,12512.16,kWh,16516.0512,3/1/2014 0:00,3/31/2014 0:00,CoM,7552.232,4959.928
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,13663.016,kWh,18035.18112,4/1/2014 0:00,4/30/2014 0:00,CoM,8720.18,4942.836
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,15824.3,kWh,20888.076,5/1/2014 0:00,5/31/2014 0:00,CoM,9718.68,6105.62
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,17151.012,kWh,22639.33584,6/1/2014 0:00,6/30/2014 0:00,CoM,9951.1,7199.912
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,5140,kWh,6811.366292,6/8/2013 0:00,9/4/2013 0:00,CoM,5140,
